year,month,nationality,job_type,count
2021,12,泰國,製造,42
2021,12,越南,製造,595
2022,1,印尼,製造,136
2022,1,菲律賓,製造,55
2022,1,泰國,製造,41
2022,1,越南,製造,585
2022,2,印尼,製造,136
2022,2,菲律賓,製造,55
2022,2,泰國,製造,41
2022,2,越南,製造,587
2022,3,印尼,製造,131
2022,3,菲律賓,製造,53
2022,3,泰國,製造,42
2022,3,越南,製造,559
2022,4,印尼,製造,130
2022,4,菲律賓,製造,52
2022,4,泰國,製造,43
2022,4,越南,製造,565
2022,5,印尼,製造,131
2022,5,菲律賓,製造,54
2022,5,泰國,製造,42
2022,5,越南,製造,569
2022,6,印尼,製造,137
2022,6,菲律賓,製造,53
2022,6,泰國,製造,47
2022,6,越南,製造,567
2022,7,印尼,製造,142
2022,7,菲律賓,製造,57
2022,7,泰國,製造,52
