"統計期","縣市別/國籍別","農、林、漁、牧","製造","營建","看護工","家庭幫傭"
"108年 9月底","臺北市/ 越南",4,673,348,1735,3
"108年 9月底","臺北市/ 蒙古",－,－,－,－,－
"108年 9月底","臺北市/ 其他",－,－,－,－,1
"108年 10月底","臺北市/ 印尼",77,177,162,29233,275
"108年 10月底","臺北市/ 馬來西亞",－,－,－,－,－
"108年 10月底","臺北市/ 菲律賓",12,64,－,6022,220
"108年 10月底","臺北市/ 泰國",－,53,1139,54,6
"108年 10月底","臺北市/ 越南",4,661,321,1725,3
"108年 10月底","臺北市/ 蒙古",－,－,－,－,－
"108年 10月底","臺北市/ 其他",－,－,－,－,1
"108年 11月底","臺北市/ 印尼",84,176,162,29421,275
"108年 11月底","臺北市/ 馬來西亞",－,－,－,－,－
"108年 11月底","臺北市/ 菲律賓",13,66,－,6012,213
"108年 11月底","臺北市/ 泰國",－,52,1151,55,6
"108年 11月底","臺北市/ 越南",5,665,307,1723,3
"108年 11月底","臺北市/ 蒙古",－,－,－,－,－
"108年 11月底","臺北市/ 其他",－,－,－,－,1
"108年 12月底","臺北市/ 印尼",89,177,159,29466,280
"108年 12月底","臺北市/ 馬來西亞",－,－,－,－,－
"108年 12月底","臺北市/ 菲律賓",13,65,－,5977,212
"108年 12月底","臺北市/ 泰國",－,53,1089,52,6
"108年 12月底","臺北市/ 越南",6,675,282,1707,3
"108年 12月底","臺北市/ 蒙古",－,－,－,－,－
"108年 12月底","臺北市/ 其他",－,－,－,－,1
"109年 1月底","臺北市/ 印尼",93,175,154,29653,275
"109年 1月底","臺北市/ 馬來西亞",－,－,－,－,－
"109年 1月底","臺北市/ 菲律賓",13,66,－,5987,213
"109年 1月底","臺北市/ 泰國",－,52,1108,52,6
"109年 1月底","臺北市/ 越南",6,667,278,1676,4
"109年 1月底","臺北市/ 蒙古",－,－,－,－,－
"109年 1月底","臺北市/ 其他",－,－,－,－,1
"109年 2月底","臺北市/ 印尼",90,172,139,29643,266
"109年 2月底","臺北市/ 馬來西亞",－,－,－,－,－
"109年 2月底","臺北市/ 菲律賓",12,66,－,5980,220
"109年 2月底","臺北市/ 泰國",－,53,1132,48,5
"109年 2月底","臺北市/ 越南",7,664,271,1662,3
"109年 2月底","臺北市/ 蒙古",－,－,－,－,－
"109年 2月底","臺北市/ 其他",－,－,－,－,1
"109年 3月底","臺北市/ 印尼",90,166,139,29708,271
"109年 3月底","臺北市/ 馬來西亞",－,－,－,－,－
"109年 3月底","臺北市/ 菲律賓",8,66,－,5950,219
"109年 3月底","臺北市/ 泰國",－,51,1132,48,5
"109年 3月底","臺北市/ 越南",5,657,272,1657,3
"109年 3月底","臺北市/ 蒙古",－,－,－,－,－
"109年 3月底","臺北市/ 其他",－,－,－,－,1
"109年 4月底","臺北市/ 印尼",58,161,139,29513,263
"109年 4月底","臺北市/ 馬來西亞",－,－,－,－,－
"109年 4月底","臺北市/ 菲律賓",8,66,－,5936,215
"109年 4月底","臺北市/ 泰國",－,52,1132,51,5
"109年 4月底","臺北市/ 越南",8,659,272,1625,2
"109年 4月底","臺北市/ 蒙古",－,－,－,－,－
"109年 4月底","臺北市/ 其他",－,－,－,－,1
"109年 5月底","臺北市/ 印尼",93,160,138,29257,260
"109年 5月底","臺北市/ 馬來西亞",－,－,－,－,－
"109年 5月底","臺北市/ 菲律賓",8,66,－,5887,212
"109年 5月底","臺北市/ 泰國",－,52,1132,51,5
"109年 5月底","臺北市/ 越南",5,651,269,1607,2
